1 	Abilene Christian 	31 	11 	20 	.355 	-19.13 	-3.65 	2 	12 	11 	6 	0 	14 	2214 	2228 		67.7 	104.2 	.400 	.360 	.559 	50.2 	54.5 	10.4 	6.8 	.515 	18.8 	30.5 	.300
2 	Air Force 	29 	12 	17 	.414 	-3.68 	2.25 	6 	12 	9 	9 	3 	8 	1921 	2013 		65.5 	100.3 	.371 	.421 	.539 	48.8 	61.6 	8.5 	10.4 	.505 	18.0 	26.9 	.258
3 	Akron 	31 	20 	11 	.645 	1.84 	-0.10 	12 	6 	14 	4 	6 	7 	2098 	2038 		65.9 	101.8 	.403 	.376 	.519 	51.2 	47.9 	10.0 	12.5 	.493 	17.2 	35.1 	.252
4 	Alabama A&M 	28 	13 	15 	.464 	-13.69 	-9.65 	10 	8 	8 	4 	5 	11 	1818 	1905 		66.6 	96.2 	.418 	.355 	.507 	46.7 	58.5 	8.9 	11.6 	.472 	17.1 	27.1 	.272
5 	Alabama-Birmingham 	30 	18 	12 	.600 	1.56 	-0.40 	7 	9 	13 	7 	5 	5 	2196 	2100 		69.4 	104.2 	.402 	.268 	.496 	55.2 	49.2 	7.7 	9.2 	.456 	15.1 	40.5 	.268
6 	Alabama State 	29 	18 	11 	.621 	-11.91 	-11.10 	12 	6 	13 	2 	5 	9 	2091 	2030 		68.2 	104.0 	.395 	.331 	.509 	49.7 	52.3 	9.5 	9.3 	.472 	14.9 	35.2 	.267
7 	Alabama 	31 	13 	18 	.419 	9.01 	9.17 	7 	11 	13 	7 	0 	11 	2114 	2082 		64.6 	104.3 	.439 	.326 	.540 	48.6 	47.4 	10.4 	12.5 	.501 	16.1 	30.5 	.303
8 	Albany (NY) 	31 	17 	14 	.548 	-3.94 	-5.91 	9 	7 	11 	3 	6 	11 	2044 	1983 		63.0 	103.4 	.427 	.265 	.537 	52.4 	49.6 	8.5 	8.3 	.487 	17.3 	32.7 	.317
9 	Alcorn State 	30 	12 	18 	.400 	-15.03 	-8.59 	9 	9 	10 	5 	2 	13 	1934 	2037 		65.0 	97.2 	.429 	.273 	.502 	47.3 	40.7 	8.8 	9.5 	.464 	15.6 	28.8 	.281
10 	American 	31 	19 	12 	.613 	1.19 	-3.69 	13 	5 	11 	3 	8 	9 	1991 	1840 		60.9 	105.0 	.346 	.359 	.587 	50.7 	65.9 	10.1 	11.5 	.561 	20.4 	27.3 	.245
11 	Appalachian State 	30 	9 	21 	.300 	-15.19 	-7.00 	5 	11 	7 	8 	2 	13 	2034 	2152 		67.4 	99.8 	.403 	.289 	.493 	50.6 	45.5 	9.2 	6.7 	.459 	15.1 	34.0 	.257
12 	Arizona State 	31 	21 	10 	.677 	14.88 	7.85 	10 	8 	17 	3 	4 	7 	2343 	2125 		69.1 	107.3 	.424 	.373 	.558 	48.5 	56.0 	7.5 	16.5 	.524 	14.7 	24.7 	.293
13 	Arizona 	31 	28 	3 	.903 	23.77 	8.96 	15 	3 	20 	0 	8 	3 	2279 	1820 		64.8 	112.0 	.429 	.257 	.543 	56.0 	57.5 	8.9 	10.3 	.512 	13.7 	37.7 	.283
14 	Arkansas-Little Rock 	30 	14 	16 	.467 	-5.48 	-0.48 	9 	9 	8 	7 	6 	9 	2100 	2194 		68.7 	100.2 	.414 	.276 	.518 	50.6 	48.1 	8.6 	9.6 	.469 	16.6 	31.0 	.302
15 	Arkansas-Pine Bluff 	30 	13 	17 	.433 	-14.15 	-6.04 	11 	7 	7 	5 	6 	12 	1907 	2119 		68.0 	93.5 	.424 	.351 	.511 	47.0 	52.5 	14.0 	7.1 	.475 	20.1 	29.1 	.279
16 	Arkansas State 	30 	18 	12 	.600 	0.89 	-2.93 	10 	8 	11 	4 	7 	8 	2271 	2113 		69.1 	108.2 	.424 	.412 	.568 	48.7 	53.3 	9.8 	8.0 	.527 	15.7 	26.6 	.311
17 	Arkansas 	31 	21 	10 	.677 	15.11 	5.72 	10 	8 	18 	4 	3 	6 	2499 	2208 		72.6 	109.7 	.409 	.337 	.548 	47.5 	56.7 	11.8 	13.7 	.507 	13.9 	31.8 	.296
18 	Army 	31 	15 	16 	.484 	-5.69 	-4.19 	10 	8 	8 	7 	7 	9 	2244 	2269 		68.1 	105.4 	.322 	.386 	.540 	48.9 	54.4 	8.8 	11.9 	.509 	16.3 	32.1 	.225
19 	Auburn 	29 	14 	15 	.483 	5.76 	5.52 	6 	12 	12 	7 	2 	8 	2088 	2081 		67.8 	106.0 	.438 	.334 	.536 	49.6 	48.5 	9.1 	11.6 	.490 	15.3 	32.0 	.314
20 	Austin Peay 	30 	12 	18 	.400 	-10.62 	-5.90 	6 	10 	9 	7 	3 	11 	2287 	2368 		71.9 	104.8 	.493 	.281 	.568 	48.7 	55.7 	9.4 	13.3 	.537 	19.2 	30.2 	.328
21 	Ball State 	30 	5 	25 	.167 	-9.44 	1.38 	2 	16 	5 	9 	0 	16 	1967 	2214 		67.0 	95.9 	.424 	.390 	.511 	52.7 	57.6 	6.6 	7.2 	.468 	21.0 	35.6 	.293
22 	Baylor 	31 	21 	10 	.677 	15.44 	10.03 	9 	9 	16 	5 	5 	5 	2327 	2109 		64.5 	114.6 	.441 	.347 	.552 	55.2 	59.4 	8.0 	15.1 	.521 	15.3 	41.7 	.293
23 	Belmont 	33 	24 	9 	.727 	2.46 	-2.55 	14 	2 	15 	2 	9 	7 	2646 	2452 		69.6 	115.2 	.414 	.412 	.617 	48.4 	57.5 	9.7 	7.5 	.587 	16.7 	27.8 	.303
24 	Bethune-Cookman 	31 	7 	24 	.226 	-16.60 	-7.19 	5 	11 	5 	6 	2 	18 	1964 	2177 		63.3 	99.2 	.364 	.353 	.506 	47.3 	45.6 	9.8 	7.2 	.463 	17.2 	33.1 	.260
25 	Binghamton 	30 	7 	23 	.233 	-15.91 	-5.91 	4 	12 	3 	11 	4 	12 	1840 	2140 		65.6 	92.3 	.442 	.366 	.489 	47.5 	47.7 	9.2 	6.1 	.439 	18.7 	29.1 	.306
