1 	Abilene Christian 	31 	11 	20 	.355 	-19.13 	-3.65 	2 	12 	11 	6 	0 	14 	2214 	2228 	737 	1664 	.443 	241 	599 	.402 	499 	666 	.749 	307 	1011 	402 	221 	72 	453 	641	759 	1640 	.463 	181 	524 	.345 	529 	747 	.708 	305 	1004 	407 	205 	128 	431 	576	67.7 	104.2 	.400 	.360 	.559 	50.2 	54.5 	10.4 	6.8 	.515 	18.8 	30.5 	0.3	67.7 	104.9 	.455 	.320 	.558 	49.8 	53.6 	9.7 	11.5 	.518 	18.0 	30.3 	0.323
2 	Air Force 	29 	12 	17 	.414 	-3.68 	2.25 	6 	12 	9 	9 	3 	8 	1921 	2013 	659 	1516 	.435 	212 	638 	.332 	391 	562 	.696 	257 	935 	406 	162 	91 	388 	540	672 	1541 	.436 	207 	628 	.330 	462 	659 	.701 	283 	982 	397 	202 	126 	346 	540	65.5 	100.3 	.371 	.421 	.539 	48.8 	61.6 	8.5 	10.4 	.505 	18.0 	26.9 	0.258	65.5 	105.1 	.428 	.408 	.543 	51.2 	59.1 	10.5 	13.8 	.503 	15.9 	29.6 	0.3
3 	Akron 	31 	20 	11 	.645 	1.84 	-0.10 	12 	6 	14 	4 	6 	7 	2098 	2038 	726 	1696 	.428 	219 	637 	.344 	427 	683 	.625 	382 	1090 	348 	206 	132 	414 	552	725 	1699 	.427 	146 	454 	.322 	440 	617 	.713 	332 	1037 	336 	204 	95 	407 	596	65.9 	101.8 	.403 	.376 	.519 	51.2 	47.9 	10.0 	12.5 	.493 	17.2 	35.1 	0.252	65.9 	98.9 	.363 	.267 	.512 	48.8 	46.3 	9.9 	7.6 	.470 	17.1 	30.5 	0.259
4 	Alabama A&M 	28 	13 	15 	.464 	-13.69 	-9.65 	10 	8 	8 	4 	5 	11 	1818 	1905 	617 	1495 	.413 	177 	531 	.333 	407 	625 	.651 	269 	935 	361 	169 	112 	365 	611	607 	1480 	.410 	144 	425 	.339 	547 	787 	.695 	347 	1069 	270 	178 	86 	383 	552	66.6 	96.2 	.418 	.355 	.507 	46.7 	58.5 	8.9 	11.6 	.472 	17.1 	27.1 	0.272	66.6 	100.8 	.532 	.287 	.514 	53.3 	44.5 	9.4 	8.2 	.459 	17.3 	35.0 	0.37
5 	Alabama-Birmingham 	30 	18 	12 	.600 	1.56 	-0.40 	7 	9 	13 	7 	5 	5 	2196 	2100 	774 	1860 	.416 	149 	499 	.299 	499 	748 	.667 	496 	1344 	381 	163 	125 	390 	521	769 	1872 	.411 	192 	622 	.309 	370 	551 	.672 	360 	1089 	384 	208 	127 	332 	596	69.4 	104.2 	.402 	.268 	.496 	55.2 	49.2 	7.7 	9.2 	.456 	15.1 	40.5 	0.268	69.4 	99.6 	.294 	.332 	.492 	44.8 	49.9 	9.9 	10.2 	.462 	13.6 	29.4 	0.198
6 	Alabama State 	29 	18 	11 	.621 	-11.91 	-11.10 	12 	6 	13 	2 	5 	9 	2091 	2030 	731 	1728 	.423 	168 	572 	.294 	461 	683 	.675 	394 	1055 	382 	192 	108 	354 	523	725 	1622 	.447 	148 	474 	.312 	432 	623 	.693 	340 	1066 	342 	175 	84 	432 	586	68.2 	104.0 	.395 	.331 	.509 	49.7 	52.3 	9.5 	9.3 	.472 	14.9 	35.2 	0.267	68.2 	100.9 	.384 	.292 	.529 	50.3 	47.2 	8.7 	7.3 	.493 	18.6 	30.4 	0.266
7 	Alabama 	31 	13 	18 	.419 	9.01 	9.17 	7 	11 	13 	7 	0 	11 	2114 	2082 	723 	1619 	.447 	177 	527 	.336 	491 	711 	.691 	309 	1019 	343 	210 	136 	372 	596	700 	1682 	.416 	166 	553 	.300 	516 	689 	.749 	374 	1079 	362 	173 	125 	399 	592	64.6 	104.3 	.439 	.326 	.540 	48.6 	47.4 	10.4 	12.5 	.501 	16.1 	30.5 	0.303	64.6 	102.7 	.410 	.329 	.518 	51.4 	51.7 	8.5 	11.1 	.466 	16.7 	36.9 	0.307
8 	Albany (NY) 	31 	17 	14 	.548 	-3.94 	-5.91 	9 	7 	11 	3 	6 	11 	2044 	1983 	695 	1583 	.439 	152 	420 	.362 	502 	676 	.743 	324 	1074 	345 	168 	96 	394 	538	706 	1683 	.419 	219 	613 	.357 	352 	489 	.720 	306 	974 	386 	182 	93 	370 	596	63.0 	103.4 	.427 	.265 	.537 	52.4 	49.6 	8.5 	8.3 	.487 	17.3 	32.7 	0.317	63.0 	100.3 	.291 	.364 	.518 	47.6 	54.7 	9.2 	8.7 	.485 	16.3 	30.8 	0.209
9 	Alcorn State 	30 	12 	18 	.400 	-15.03 	-8.59 	9 	9 	10 	5 	2 	13 	1934 	2037 	675 	1599 	.422 	135 	436 	.310 	449 	686 	.655 	284 	924 	275 	176 	111 	351 	557	700 	1632 	.429 	178 	515 	.346 	459 	648 	.708 	327 	1029 	368 	161 	78 	375 	526	65.0 	97.2 	.429 	.273 	.502 	47.3 	40.7 	8.8 	9.5 	.464 	15.6 	28.8 	0.281	65.0 	102.4 	.397 	.316 	.525 	52.7 	52.6 	8.1 	7.0 	.483 	16.4 	33.2 	0.281
10 	American 	31 	19 	12 	.613 	1.19 	-3.69 	13 	5 	11 	3 	8 	9 	1991 	1840 	718 	1456 	.493 	199 	522 	.381 	356 	504 	.706 	226 	931 	473 	191 	107 	429 	541	629 	1517 	.415 	150 	465 	.323 	432 	639 	.676 	304 	906 	315 	217 	78 	379 	548	60.9 	105.0 	.346 	.359 	.587 	50.7 	65.9 	10.1 	11.5 	.561 	20.4 	27.3 	0.245	60.9 	97.0 	.421 	.307 	.505 	49.3 	50.1 	11.4 	7.4 	.464 	17.4 	36.7 	0.285
11 	Appalachian State 	30 	9 	21 	.300 	-15.19 	-7.00 	5 	11 	7 	8 	2 	13 	2034 	2152 	719 	1730 	.416 	151 	500 	.302 	445 	697 	.638 	392 	1091 	327 	187 	83 	362 	597	763 	1644 	.464 	179 	486 	.368 	447 	670 	.667 	303 	1064 	388 	170 	130 	386 	601	67.4 	99.8 	.403 	.289 	.493 	50.6 	45.5 	9.2 	6.7 	.459 	15.1 	34.0 	0.257	67.4 	105.6 	.408 	.296 	.548 	49.4 	50.9 	8.3 	11.2 	.519 	16.6 	26.3 	0.272
12 	Arizona State 	31 	21 	10 	.677 	14.88 	7.85 	10 	8 	17 	3 	4 	7 	2343 	2125 	789 	1746 	.452 	253 	652 	.388 	512 	741 	.691 	268 	1117 	442 	163 	180 	356 	600	762 	1852 	.411 	162 	506 	.320 	439 	686 	.640 	370 	1187 	357 	171 	127 	375 	622	69.1 	107.3 	.424 	.373 	.558 	48.5 	56.0 	7.5 	16.5 	.524 	14.7 	24.7 	0.293	69.1 	97.3 	.370 	.273 	.488 	51.5 	46.9 	7.8 	9.4 	.455 	14.8 	34.1 	0.237
13 	Arizona 	31 	28 	3 	.903 	23.77 	8.96 	15 	3 	20 	0 	8 	3 	2279 	1820 	814 	1743 	.467 	158 	448 	.353 	493 	748 	.659 	398 	1205 	468 	181 	133 	328 	512	641 	1663 	.385 	140 	447 	.313 	398 	572 	.696 	289 	948 	284 	150 	102 	394 	590	64.8 	112.0 	.429 	.257 	.543 	56.0 	57.5 	8.9 	10.3 	.512 	13.7 	37.7 	0.283	64.8 	89.5 	.344 	.269 	.470 	44.0 	44.3 	7.4 	8.4 	.428 	17.1 	27.3 	0.239
14 	Arkansas-Little Rock 	30 	14 	16 	.467 	-5.48 	-0.48 	9 	9 	8 	7 	6 	9 	2100 	2194 	719 	1693 	.425 	150 	467 	.321 	512 	701 	.730 	332 	1075 	346 	181 	118 	399 	634	705 	1633 	.432 	232 	667 	.348 	552 	794 	.695 	312 	1051 	408 	199 	106 	400 	593	68.7 	100.2 	.414 	.276 	.518 	50.6 	48.1 	8.6 	9.6 	.469 	16.6 	31.0 	0.302	68.7 	104.7 	.486 	.408 	.546 	49.4 	57.9 	9.5 	11.0 	.503 	16.8 	29.1 	0.338
15 	Arkansas-Pine Bluff 	30 	13 	17 	.433 	-14.15 	-6.04 	11 	7 	7 	5 	6 	12 	1907 	2119 	642 	1552 	.414 	190 	544 	.349 	433 	658 	.658 	299 	919 	337 	286 	72 	463 	587	704 	1506 	.467 	199 	551 	.361 	512 	749 	.684 	308 	1036 	439 	223 	126 	495 	556	68.0 	93.5 	.424 	.351 	.511 	47.0 	52.5 	14.0 	7.1 	.475 	20.1 	29.1 	0.279	68.0 	103.9 	.497 	.366 	.569 	53.0 	62.4 	10.9 	13.2 	.534 	21.2 	30.0 	0.34
16 	Arkansas State 	30 	18 	12 	.600 	0.89 	-2.93 	10 	8 	11 	4 	7 	8 	2271 	2113 	745 	1663 	.448 	264 	685 	.385 	517 	705 	.733 	272 	1027 	397 	205 	78 	367 	524	749 	1745 	.429 	186 	574 	.324 	429 	605 	.709 	330 	1082 	329 	182 	80 	403 	602	69.1 	108.2 	.424 	.412 	.568 	48.7 	53.3 	9.8 	8.0 	.527 	15.7 	26.6 	0.311	69.1 	100.7 	.347 	.329 	.520 	51.3 	43.9 	8.7 	6.8 	.483 	16.7 	32.2 	0.246
17 	Arkansas 	31 	21 	10 	.677 	15.11 	5.72 	10 	8 	18 	4 	3 	6 	2499 	2208 	848 	1908 	.444 	238 	643 	.370 	565 	781 	.723 	367 	1115 	481 	269 	173 	365 	641	741 	1821 	.407 	196 	570 	.344 	530 	769 	.689 	442 	1230 	347 	172 	100 	536 	633	72.6 	109.7 	.409 	.337 	.548 	47.5 	56.7 	11.8 	13.7 	.507 	13.9 	31.8 	0.296	72.6 	96.9 	.422 	.313 	.505 	52.5 	46.8 	7.5 	8.0 	.461 	19.9 	38.3 	0.291
18 	Army 	31 	15 	16 	.484 	-5.69 	-4.19 	10 	8 	8 	7 	7 	9 	2244 	2269 	801 	1804 	.444 	236 	697 	.339 	406 	580 	.700 	352 	1043 	436 	187 	132 	401 	567	807 	1755 	.460 	208 	541 	.384 	447 	621 	.720 	343 	1088 	413 	227 	103 	424 	562	68.1 	105.4 	.322 	.386 	.540 	48.9 	54.4 	8.8 	11.9 	.509 	16.3 	32.1 	0.225	68.1 	106.5 	.354 	.308 	.553 	51.1 	51.2 	10.7 	8.5 	.519 	17.3 	31.3 	0.255
19 	Auburn 	29 	14 	15 	.483 	5.76 	5.52 	6 	12 	12 	7 	2 	8 	2088 	2081 	707 	1613 	.438 	167 	538 	.310 	507 	706 	.718 	323 	998 	343 	179 	125 	347 	622	675 	1567 	.431 	208 	552 	.377 	523 	757 	.691 	326 	1013 	403 	168 	105 	366 	591	67.8 	106.0 	.438 	.334 	.536 	49.6 	48.5 	9.1 	11.6 	.490 	15.3 	32.0 	0.314	67.8 	105.7 	.483 	.352 	.540 	50.4 	59.7 	8.5 	10.3 	.497 	16.2 	32.3 	0.334
20 	Austin Peay 	30 	12 	18 	.400 	-10.62 	-5.90 	6 	10 	9 	7 	3 	11 	2287 	2368 	797 	1632 	.488 	158 	459 	.344 	535 	804 	.665 	298 	999 	444 	206 	156 	471 	517	838 	1817 	.461 	234 	651 	.359 	458 	622 	.736 	364 	1052 	475 	235 	99 	430 	637	71.9 	104.8 	.493 	.281 	.568 	48.7 	55.7 	9.4 	13.3 	.537 	19.2 	30.2 	0.328	71.9 	108.5 	.342 	.358 	.560 	51.3 	56.7 	10.8 	8.5 	.526 	17.1 	36.9 	0.252
21 	Ball State 	30 	5 	25 	.167 	-9.44 	1.38 	2 	16 	5 	9 	0 	16 	1967 	2214 	651 	1601 	.407 	196 	625 	.314 	469 	679 	.691 	383 	1108 	375 	136 	70 	505 	615	769 	1671 	.460 	158 	476 	.332 	518 	738 	.702 	302 	996 	412 	258 	110 	339 	577	67.0 	95.9 	.424 	.390 	.511 	52.7 	57.6 	6.6 	7.2 	.468 	21.0 	35.6 	0.293	67.0 	107.9 	.442 	.285 	.548 	47.3 	53.6 	12.6 	9.2 	.507 	14.5 	28.0 	0.31
22 	Baylor 	31 	21 	10 	.677 	15.44 	10.03 	9 	9 	16 	5 	5 	5 	2327 	2109 	791 	1742 	.454 	234 	605 	.387 	511 	768 	.665 	446 	1206 	470 	162 	172 	375 	544	749 	1774 	.422 	210 	586 	.358 	401 	585 	.685 	355 	978 	463 	164 	88 	329 	595	64.5 	114.6 	.441 	.347 	.552 	55.2 	59.4 	8.0 	15.1 	.521 	15.3 	41.7 	0.293	64.5 	103.8 	.330 	.330 	.514 	44.8 	61.8 	8.1 	7.4 	.481 	13.9 	33.2 	0.226
23 	Belmont 	33 	24 	9 	.727 	2.46 	-2.55 	14 	2 	15 	2 	9 	7 	2646 	2452 	905 	1791 	.505 	293 	738 	.397 	543 	742 	.732 	275 	1012 	520 	222 	79 	425 	687	837 	1820 	.460 	226 	646 	.350 	552 	793 	.696 	368 	1081 	425 	238 	100 	470 	686	69.6 	115.2 	.414 	.412 	.617 	48.4 	57.5 	9.7 	7.5 	.587 	16.7 	27.8 	0.303	69.6 	106.8 	.436 	.355 	.558 	51.6 	50.8 	10.4 	8.5 	.522 	17.8 	37.2 	0.303
24 	Bethune-Cookman 	31 	7 	24 	.226 	-16.60 	-7.19 	5 	11 	5 	6 	2 	18 	1964 	2177 	662 	1655 	.400 	209 	584 	.358 	431 	602 	.716 	358 	974 	302 	193 	77 	399 	661	704 	1555 	.453 	185 	526 	.352 	584 	822 	.710 	360 	1084 	402 	191 	145 	391 	538	63.3 	99.2 	.364 	.353 	.506 	47.3 	45.6 	9.8 	7.2 	.463 	17.2 	33.1 	0.26	63.3 	110.0 	.529 	.338 	.560 	52.7 	57.1 	9.7 	14.1 	.512 	16.9 	33.3 	0.376
25 	Binghamton 	30 	7 	23 	.233 	-15.91 	-5.91 	4 	12 	3 	11 	4 	12 	1840 	2140 	591 	1554 	.380 	182 	569 	.320 	476 	687 	.693 	312 	970 	282 	184 	60 	428 	596	724 	1601 	.452 	244 	634 	.385 	448 	654 	.685 	315 	1074 	442 	222 	104 	394 	605	65.6 	92.3 	.442 	.366 	.489 	47.5 	47.7 	9.2 	6.1 	.439 	18.7 	29.1 	0.306	65.6 	107.4 	.408 	.396 	.560 	52.5 	61.0 	11.1 	10.8 	.528 	17.3 	29.4 	0.28
26 	Boise State 	31 	19 	12 	.613 	8.66 	4.59 	9 	9 	14 	5 	5 	7 	2366 	2163 	818 	1788 	.457 	243 	646 	.376 	487 	652 	.747 	342 	1066 	368 	186 	60 	309 	594	753 	1650 	.456 	203 	564 	.360 	454 	648 	.701 	235 	914 	353 	141 	103 	361 	579	65.8 	114.1 	.365 	.361 	.564 	53.8 	45.0 	9.0 	5.3 	.525 	13.0 	33.5 	0.272	65.8 	104.3 	.393 	.342 	.552 	46.2 	46.9 	6.8 	9.5 	.518 	15.7 	23.0 	0.275
27 	Boston College 	31 	8 	23 	.258 	3.36 	9.06 	4 	14 	5 	12 	3 	11 	2127 	2281 	695 	1555 	.447 	241 	683 	.353 	496 	670 	.740 	261 	921 	387 	131 	86 	350 	583	801 	1714 	.467 	177 	475 	.373 	502 	690 	.728 	344 	1026 	383 	173 	89 	291 	566	62.7 	107.6 	.431 	.439 	.568 	47.3 	55.7 	6.6 	9.9 	.524 	15.9 	27.7 	0.319	62.7 	115.4 	.403 	.277 	.559 	52.7 	47.8 	8.8 	7.2 	.519 	12.6 	36.5 	0.293
28 	Boston University 	33 	24 	9 	.727 	2.55 	-2.57 	15 	3 	13 	5 	11 	4 	2394 	2225 	855 	1872 	.457 	270 	734 	.368 	414 	573 	.723 	319 	1113 	465 	233 	62 	394 	561	802 	1844 	.435 	217 	621 	.349 	404 	576 	.701 	343 	1137 	426 	173 	102 	449 	540	66.3 	107.8 	.306 	.392 	.558 	49.5 	54.4 	10.5 	5.4 	.529 	15.6 	28.7 	0.221	66.3 	100.2 	.312 	.337 	.525 	50.5 	53.1 	7.8 	8.3 	.494 	17.6 	30.8 	0.219
29 	Bowling Green State 	32 	12 	20 	.375 	-2.80 	0.46 	6 	12 	8 	9 	4 	11 	2007 	2055 	743 	1745 	.426 	120 	417 	.288 	401 	630 	.637 	338 	1131 	387 	246 	177 	469 	564	716 	1740 	.411 	199 	570 	.349 	424 	650 	.652 	353 	1138 	402 	268 	107 	451 	567	67.0 	92.9 	.361 	.239 	.491 	49.8 	52.1 	11.4 	13.3 	.460 	18.8 	30.1 	0.23	67.0 	95.1 	.374 	.328 	.502 	50.2 	56.1 	12.4 	9.1 	.469 	18.2 	31.4 	0.244
30 	Bradley 	32 	12 	20 	.375 	-2.34 	0.07 	7 	11 	11 	9 	1 	11 	2036 	2113 	721 	1720 	.419 	154 	479 	.322 	440 	628 	.701 	356 	1064 	306 	226 	84 	383 	635	704 	1614 	.436 	206 	631 	.326 	499 	700 	.713 	319 	1066 	399 	187 	107 	413 	575	63.9 	99.7 	.365 	.278 	.504 	50.0 	42.4 	11.1 	6.8 	.464 	16.1 	32.3 	0.256	63.9 	103.4 	.434 	.391 	.543 	50.0 	56.7 	9.2 	10.9 	.500 	17.7 	28.9 	0.309
31 	Brigham Young 	33 	23 	10 	.697 	12.85 	5.63 	13 	5 	18 	3 	5 	7 	2799 	2544 	971 	2066 	.470 	169 	467 	.362 	688 	999 	.689 	436 	1358 	524 	241 	101 	371 	641	883 	2073 	.426 	251 	738 	.340 	527 	742 	.710 	371 	1185 	478 	201 	140 	423 	756	73.7 	113.0 	.484 	.226 	.551 	53.4 	54.0 	9.7 	6.3 	.511 	12.9 	34.9 	0.333	73.7 	102.7 	.358 	.356 	.524 	46.6 	54.1 	8.1 	10.5 	.486 	15.0 	29.7 	0.254
32 	Brown 	28 	15 	13 	.536 	-1.09 	-3.90 	7 	7 	8 	5 	7 	8 	2000 	1883 	707 	1632 	.433 	190 	497 	.382 	396 	590 	.671 	312 	1108 	377 	159 	134 	363 	557	644 	1639 	.393 	154 	525 	.293 	441 	620 	.711 	306 	1030 	328 	177 	119 	332 	524	69.4 	102.0 	.362 	.305 	.523 	51.8 	53.3 	8.1 	11.8 	.491 	16.1 	30.1 	0.243	69.4 	96.0 	.378 	.320 	.487 	48.2 	50.9 	9.0 	10.7 	.440 	14.8 	29.5 	0.269
33 	Bryant 	32 	18 	14 	.563 	-3.92 	-4.57 	10 	6 	11 	5 	7 	9 	2351 	2304 	840 	1788 	.470 	201 	602 	.334 	470 	669 	.703 	308 	1095 	420 	207 	93 	397 	568	819 	1888 	.434 	243 	675 	.360 	423 	622 	.680 	402 	1165 	415 	216 	143 	404 	585	67.9 	107.4 	.374 	.337 	.558 	48.5 	50.0 	9.5 	7.8 	.526 	16.0 	28.8 	0.263	67.9 	105.2 	.329 	.358 	.528 	51.5 	50.7 	9.9 	11.8 	.498 	15.7 	37.5 	0.224
34 	Bucknell 	30 	16 	14 	.533 	-0.82 	-2.66 	11 	7 	8 	6 	8 	8 	1977 	1922 	698 	1627 	.429 	196 	502 	.390 	385 	516 	.746 	287 	1067 	357 	138 	49 	321 	500	697 	1644 	.424 	182 	537 	.339 	346 	522 	.663 	252 	953 	342 	167 	143 	274 	469	63.7 	103.5 	.317 	.309 	.528 	52.8 	51.1 	7.2 	4.4 	.489 	14.8 	29.0 	0.237	63.7 	100.6 	.318 	.327 	.508 	47.2 	49.1 	8.7 	12.9 	.479 	12.8 	25.5 	0.21
35 	Buffalo 	28 	19 	9 	.679 	4.41 	-1.70 	13 	5 	13 	3 	6 	6 	2068 	1883 	709 	1574 	.450 	174 	531 	.328 	476 	666 	.715 	340 	1031 	422 	193 	129 	354 	515	670 	1582 	.424 	155 	505 	.307 	388 	570 	.681 	318 	950 	344 	192 	74 	379 	565	67.9 	108.3 	.423 	.337 	.547 	52.0 	59.5 	10.1 	12.4 	.506 	15.9 	35.0 	0.302	67.9 	98.6 	.360 	.319 	.508 	48.0 	51.3 	10.1 	6.9 	.473 	17.1 	32.7 	0.245
36 	Butler 	30 	14 	16 	.467 	8.04 	7.94 	4 	14 	10 	9 	4 	7 	2075 	2013 	734 	1707 	.430 	181 	549 	.330 	426 	641 	.665 	331 	1039 	333 	181 	82 	298 	511	746 	1661 	.449 	158 	509 	.310 	363 	523 	.694 	279 	1022 	369 	165 	111 	351 	567	64.1 	104.8 	.376 	.322 	.516 	50.4 	45.4 	9.1 	7.1 	.483 	13.0 	30.8 	0.25	64.1 	101.7 	.315 	.306 	.527 	49.6 	49.5 	8.3 	9.6 	.497 	15.7 	26.0 	0.219
37 	Cal Poly 	29 	10 	19 	.345 	-2.13 	2.24 	6 	10 	7 	7 	3 	12 	1832 	1875 	645 	1588 	.406 	189 	562 	.336 	353 	512 	.689 	327 	939 	342 	176 	81 	269 	540	633 	1445 	.438 	161 	469 	.343 	448 	615 	.728 	281 	974 	359 	138 	105 	325 	450	61.3 	103.1 	.322 	.354 	.500 	49.1 	53.0 	9.9 	7.9 	.466 	12.9 	32.1 	0.222	61.3 	105.5 	.426 	.325 	.540 	50.9 	56.7 	7.8 	10.8 	.494 	15.9 	27.5 	0.31
38 	Cal State Bakersfield 	30 	12 	18 	.400 	-4.59 	-3.97 	5 	11 	7 	8 	5 	10 	2084 	2059 	724 	1648 	.439 	210 	531 	.395 	426 	624 	.683 	355 	1042 	372 	198 	107 	417 	670	664 	1536 	.432 	167 	539 	.310 	564 	810 	.696 	309 	985 	362 	200 	107 	389 	582	66.2 	104.0 	.379 	.322 	.536 	51.4 	51.4 	9.9 	9.6 	.503 	17.8 	34.4 	0.258	66.2 	102.7 	.527 	.351 	.536 	48.6 	54.5 	10.0 	10.7 	.487 	17.1 	30.0 	0.367
39 	Cal State Fullerton 	30 	11 	19 	.367 	-4.40 	-0.63 	6 	10 	8 	7 	3 	12 	2036 	2149 	714 	1666 	.429 	182 	549 	.332 	426 	645 	.660 	313 	1013 	332 	139 	54 	360 	586	737 	1612 	.457 	157 	466 	.337 	518 	732 	.708 	290 	1051 	388 	149 	111 	341 	571	66.9 	101.0 	.387 	.330 	.516 	49.1 	46.5 	6.9 	4.8 	.483 	15.6 	29.1 	0.256	66.9 	106.7 	.454 	.289 	.548 	50.9 	52.6 	7.4 	9.7 	.506 	15.0 	27.0 	0.321
