1 	Abilene Christian 	31 	11 	20 	.355 	-19.13 	-3.65 	2 	12 	11 	6 	0 	14 	2214 	2228 		759 	1640 	.463 	181 	524 	.345 	529 	747 	.708 	305 	1004 	407 	205 	128 	431 	576
2 	Air Force 	29 	12 	17 	.414 	-3.68 	2.25 	6 	12 	9 	9 	3 	8 	1921 	2013 		672 	1541 	.436 	207 	628 	.330 	462 	659 	.701 	283 	982 	397 	202 	126 	346 	540
3 	Akron 	31 	20 	11 	.645 	1.84 	-0.10 	12 	6 	14 	4 	6 	7 	2098 	2038 		725 	1699 	.427 	146 	454 	.322 	440 	617 	.713 	332 	1037 	336 	204 	95 	407 	596
4 	Alabama A&M 	28 	13 	15 	.464 	-13.69 	-9.65 	10 	8 	8 	4 	5 	11 	1818 	1905 		607 	1480 	.410 	144 	425 	.339 	547 	787 	.695 	347 	1069 	270 	178 	86 	383 	552
5 	Alabama-Birmingham 	30 	18 	12 	.600 	1.56 	-0.40 	7 	9 	13 	7 	5 	5 	2196 	2100 		769 	1872 	.411 	192 	622 	.309 	370 	551 	.672 	360 	1089 	384 	208 	127 	332 	596
6 	Alabama State 	29 	18 	11 	.621 	-11.91 	-11.10 	12 	6 	13 	2 	5 	9 	2091 	2030 		725 	1622 	.447 	148 	474 	.312 	432 	623 	.693 	340 	1066 	342 	175 	84 	432 	586
7 	Alabama 	31 	13 	18 	.419 	9.01 	9.17 	7 	11 	13 	7 	0 	11 	2114 	2082 		700 	1682 	.416 	166 	553 	.300 	516 	689 	.749 	374 	1079 	362 	173 	125 	399 	592
8 	Albany (NY) 	31 	17 	14 	.548 	-3.94 	-5.91 	9 	7 	11 	3 	6 	11 	2044 	1983 		706 	1683 	.419 	219 	613 	.357 	352 	489 	.720 	306 	974 	386 	182 	93 	370 	596
9 	Alcorn State 	30 	12 	18 	.400 	-15.03 	-8.59 	9 	9 	10 	5 	2 	13 	1934 	2037 		700 	1632 	.429 	178 	515 	.346 	459 	648 	.708 	327 	1029 	368 	161 	78 	375 	526
10 	American 	31 	19 	12 	.613 	1.19 	-3.69 	13 	5 	11 	3 	8 	9 	1991 	1840 		629 	1517 	.415 	150 	465 	.323 	432 	639 	.676 	304 	906 	315 	217 	78 	379 	548
11 	Appalachian State 	30 	9 	21 	.300 	-15.19 	-7.00 	5 	11 	7 	8 	2 	13 	2034 	2152 		763 	1644 	.464 	179 	486 	.368 	447 	670 	.667 	303 	1064 	388 	170 	130 	386 	601
12 	Arizona State 	31 	21 	10 	.677 	14.88 	7.85 	10 	8 	17 	3 	4 	7 	2343 	2125 		762 	1852 	.411 	162 	506 	.320 	439 	686 	.640 	370 	1187 	357 	171 	127 	375 	622
13 	Arizona 	31 	28 	3 	.903 	23.77 	8.96 	15 	3 	20 	0 	8 	3 	2279 	1820 		641 	1663 	.385 	140 	447 	.313 	398 	572 	.696 	289 	948 	284 	150 	102 	394 	590
14 	Arkansas-Little Rock 	30 	14 	16 	.467 	-5.48 	-0.48 	9 	9 	8 	7 	6 	9 	2100 	2194 		705 	1633 	.432 	232 	667 	.348 	552 	794 	.695 	312 	1051 	408 	199 	106 	400 	593
15 	Arkansas-Pine Bluff 	30 	13 	17 	.433 	-14.15 	-6.04 	11 	7 	7 	5 	6 	12 	1907 	2119 		704 	1506 	.467 	199 	551 	.361 	512 	749 	.684 	308 	1036 	439 	223 	126 	495 	556
16 	Arkansas State 	30 	18 	12 	.600 	0.89 	-2.93 	10 	8 	11 	4 	7 	8 	2271 	2113 		749 	1745 	.429 	186 	574 	.324 	429 	605 	.709 	330 	1082 	329 	182 	80 	403 	602
17 	Arkansas 	31 	21 	10 	.677 	15.11 	5.72 	10 	8 	18 	4 	3 	6 	2499 	2208 		741 	1821 	.407 	196 	570 	.344 	530 	769 	.689 	442 	1230 	347 	172 	100 	536 	633
