1 	Abilene Christian 	31 	11 	20 	.355 	-19.13 	-3.65 	2 	12 	11 	6 	0 	14 	2214 	2228 		737 	1664 	.443 	241 	599 	.402 	499 	666 	.749 	307 	1011 	402 	221 	72 	453 	641
2 	Air Force 	29 	12 	17 	.414 	-3.68 	2.25 	6 	12 	9 	9 	3 	8 	1921 	2013 		659 	1516 	.435 	212 	638 	.332 	391 	562 	.696 	257 	935 	406 	162 	91 	388 	540
3 	Akron 	31 	20 	11 	.645 	1.84 	-0.10 	12 	6 	14 	4 	6 	7 	2098 	2038 		726 	1696 	.428 	219 	637 	.344 	427 	683 	.625 	382 	1090 	348 	206 	132 	414 	552
4 	Alabama A&M 	28 	13 	15 	.464 	-13.69 	-9.65 	10 	8 	8 	4 	5 	11 	1818 	1905 		617 	1495 	.413 	177 	531 	.333 	407 	625 	.651 	269 	935 	361 	169 	112 	365 	611
5 	Alabama-Birmingham 	30 	18 	12 	.600 	1.56 	-0.40 	7 	9 	13 	7 	5 	5 	2196 	2100 		774 	1860 	.416 	149 	499 	.299 	499 	748 	.667 	496 	1344 	381 	163 	125 	390 	521
6 	Alabama State 	29 	18 	11 	.621 	-11.91 	-11.10 	12 	6 	13 	2 	5 	9 	2091 	2030 		731 	1728 	.423 	168 	572 	.294 	461 	683 	.675 	394 	1055 	382 	192 	108 	354 	523
7 	Alabama 	31 	13 	18 	.419 	9.01 	9.17 	7 	11 	13 	7 	0 	11 	2114 	2082 		723 	1619 	.447 	177 	527 	.336 	491 	711 	.691 	309 	1019 	343 	210 	136 	372 	596
8 	Albany (NY) 	31 	17 	14 	.548 	-3.94 	-5.91 	9 	7 	11 	3 	6 	11 	2044 	1983 		695 	1583 	.439 	152 	420 	.362 	502 	676 	.743 	324 	1074 	345 	168 	96 	394 	538
9 	Alcorn State 	30 	12 	18 	.400 	-15.03 	-8.59 	9 	9 	10 	5 	2 	13 	1934 	2037 		675 	1599 	.422 	135 	436 	.310 	449 	686 	.655 	284 	924 	275 	176 	111 	351 	557
10 	American 	31 	19 	12 	.613 	1.19 	-3.69 	13 	5 	11 	3 	8 	9 	1991 	1840 		718 	1456 	.493 	199 	522 	.381 	356 	504 	.706 	226 	931 	473 	191 	107 	429 	541
11 	Appalachian State 	30 	9 	21 	.300 	-15.19 	-7.00 	5 	11 	7 	8 	2 	13 	2034 	2152 		719 	1730 	.416 	151 	500 	.302 	445 	697 	.638 	392 	1091 	327 	187 	83 	362 	597
12 	Arizona State 	31 	21 	10 	.677 	14.88 	7.85 	10 	8 	17 	3 	4 	7 	2343 	2125 		789 	1746 	.452 	253 	652 	.388 	512 	741 	.691 	268 	1117 	442 	163 	180 	356 	600
13 	Arizona 	31 	28 	3 	.903 	23.77 	8.96 	15 	3 	20 	0 	8 	3 	2279 	1820 		814 	1743 	.467 	158 	448 	.353 	493 	748 	.659 	398 	1205 	468 	181 	133 	328 	512
14 	Arkansas-Little Rock 	30 	14 	16 	.467 	-5.48 	-0.48 	9 	9 	8 	7 	6 	9 	2100 	2194 		719 	1693 	.425 	150 	467 	.321 	512 	701 	.730 	332 	1075 	346 	181 	118 	399 	634
15 	Arkansas-Pine Bluff 	30 	13 	17 	.433 	-14.15 	-6.04 	11 	7 	7 	5 	6 	12 	1907 	2119 		642 	1552 	.414 	190 	544 	.349 	433 	658 	.658 	299 	919 	337 	286 	72 	463 	587
16 	Arkansas State 	30 	18 	12 	.600 	0.89 	-2.93 	10 	8 	11 	4 	7 	8 	2271 	2113 		745 	1663 	.448 	264 	685 	.385 	517 	705 	.733 	272 	1027 	397 	205 	78 	367 	524
17 	Arkansas 	31 	21 	10 	.677 	15.11 	5.72 	10 	8 	18 	4 	3 	6 	2499 	2208 		848 	1908 	.444 	238 	643 	.370 	565 	781 	.723 	367 	1115 	481 	269 	173 	365 	641
18 	Army 	31 	15 	16 	.484 	-5.69 	-4.19 	10 	8 	8 	7 	7 	9 	2244 	2269 		801 	1804 	.444 	236 	697 	.339 	406 	580 	.700 	352 	1043 	436 	187 	132 	401 	567
19 	Auburn 	29 	14 	15 	.483 	5.76 	5.52 	6 	12 	12 	7 	2 	8 	2088 	2081 		707 	1613 	.438 	167 	538 	.310 	507 	706 	.718 	323 	998 	343 	179 	125 	347 	622
20 	Austin Peay 	30 	12 	18 	.400 	-10.62 	-5.90 	6 	10 	9 	7 	3 	11 	2287 	2368 		797 	1632 	.488 	158 	459 	.344 	535 	804 	.665 	298 	999 	444 	206 	156 	471 	517
21 	Ball State 	30 	5 	25 	.167 	-9.44 	1.38 	2 	16 	5 	9 	0 	16 	1967 	2214 		651 	1601 	.407 	196 	625 	.314 	469 	679 	.691 	383 	1108 	375 	136 	70 	505 	615
22 	Baylor 	31 	21 	10 	.677 	15.44 	10.03 	9 	9 	16 	5 	5 	5 	2327 	2109 		791 	1742 	.454 	234 	605 	.387 	511 	768 	.665 	446 	1206 	470 	162 	172 	375 	544
23 	Belmont 	33 	24 	9 	.727 	2.46 	-2.55 	14 	2 	15 	2 	9 	7 	2646 	2452 		905 	1791 	.505 	293 	738 	.397 	543 	742 	.732 	275 	1012 	520 	222 	79 	425 	687
24 	Bethune-Cookman 	31 	7 	24 	.226 	-16.60 	-7.19 	5 	11 	5 	6 	2 	18 	1964 	2177 		662 	1655 	.400 	209 	584 	.358 	431 	602 	.716 	358 	974 	302 	193 	77 	399 	661
