1 	Abilene Christian 	31 	11 	20 	.355 	-19.13 	-3.65 	2 	12 	11 	6 	0 	14 	2214 	2228 		67.7 	104.9 	.455 	.320 	.558 	49.8 	53.6 	9.7 	11.5 	.518 	18.0 	30.3 	.323
2 	Air Force 	29 	12 	17 	.414 	-3.68 	2.25 	6 	12 	9 	9 	3 	8 	1921 	2013 		65.5 	105.1 	.428 	.408 	.543 	51.2 	59.1 	10.5 	13.8 	.503 	15.9 	29.6 	.300
3 	Akron 	31 	20 	11 	.645 	1.84 	-0.10 	12 	6 	14 	4 	6 	7 	2098 	2038 		65.9 	98.9 	.363 	.267 	.512 	48.8 	46.3 	9.9 	7.6 	.470 	17.1 	30.5 	.259
4 	Alabama A&M 	28 	13 	15 	.464 	-13.69 	-9.65 	10 	8 	8 	4 	5 	11 	1818 	1905 		66.6 	100.8 	.532 	.287 	.514 	53.3 	44.5 	9.4 	8.2 	.459 	17.3 	35.0 	.370
5 	Alabama-Birmingham 	30 	18 	12 	.600 	1.56 	-0.40 	7 	9 	13 	7 	5 	5 	2196 	2100 		69.4 	99.6 	.294 	.332 	.492 	44.8 	49.9 	9.9 	10.2 	.462 	13.6 	29.4 	.198
6 	Alabama State 	29 	18 	11 	.621 	-11.91 	-11.10 	12 	6 	13 	2 	5 	9 	2091 	2030 		68.2 	100.9 	.384 	.292 	.529 	50.3 	47.2 	8.7 	7.3 	.493 	18.6 	30.4 	.266
7 	Alabama 	31 	13 	18 	.419 	9.01 	9.17 	7 	11 	13 	7 	0 	11 	2114 	2082 		64.6 	102.7 	.410 	.329 	.518 	51.4 	51.7 	8.5 	11.1 	.466 	16.7 	36.9 	.307
8 	Albany (NY) 	31 	17 	14 	.548 	-3.94 	-5.91 	9 	7 	11 	3 	6 	11 	2044 	1983 		63.0 	100.3 	.291 	.364 	.518 	47.6 	54.7 	9.2 	8.7 	.485 	16.3 	30.8 	.209
9 	Alcorn State 	30 	12 	18 	.400 	-15.03 	-8.59 	9 	9 	10 	5 	2 	13 	1934 	2037 		65.0 	102.4 	.397 	.316 	.525 	52.7 	52.6 	8.1 	7.0 	.483 	16.4 	33.2 	.281
10 	American 	31 	19 	12 	.613 	1.19 	-3.69 	13 	5 	11 	3 	8 	9 	1991 	1840 		60.9 	97.0 	.421 	.307 	.505 	49.3 	50.1 	11.4 	7.4 	.464 	17.4 	36.7 	.285
11 	Appalachian State 	30 	9 	21 	.300 	-15.19 	-7.00 	5 	11 	7 	8 	2 	13 	2034 	2152 		67.4 	105.6 	.408 	.296 	.548 	49.4 	50.9 	8.3 	11.2 	.519 	16.6 	26.3 	.272
12 	Arizona State 	31 	21 	10 	.677 	14.88 	7.85 	10 	8 	17 	3 	4 	7 	2343 	2125 		69.1 	97.3 	.370 	.273 	.488 	51.5 	46.9 	7.8 	9.4 	.455 	14.8 	34.1 	.237
13 	Arizona 	31 	28 	3 	.903 	23.77 	8.96 	15 	3 	20 	0 	8 	3 	2279 	1820 		64.8 	89.5 	.344 	.269 	.470 	44.0 	44.3 	7.4 	8.4 	.428 	17.1 	27.3 	.239
14 	Arkansas-Little Rock 	30 	14 	16 	.467 	-5.48 	-0.48 	9 	9 	8 	7 	6 	9 	2100 	2194 		68.7 	104.7 	.486 	.408 	.546 	49.4 	57.9 	9.5 	11.0 	.503 	16.8 	29.1 	.338
15 	Arkansas-Pine Bluff 	30 	13 	17 	.433 	-14.15 	-6.04 	11 	7 	7 	5 	6 	12 	1907 	2119 		68.0 	103.9 	.497 	.366 	.569 	53.0 	62.4 	10.9 	13.2 	.534 	21.2 	30.0 	.340
16 	Arkansas State 	30 	18 	12 	.600 	0.89 	-2.93 	10 	8 	11 	4 	7 	8 	2271 	2113 		69.1 	100.7 	.347 	.329 	.520 	51.3 	43.9 	8.7 	6.8 	.483 	16.7 	32.2 	.246
17 	Arkansas 	31 	21 	10 	.677 	15.11 	5.72 	10 	8 	18 	4 	3 	6 	2499 	2208 		72.6 	96.9 	.422 	.313 	.505 	52.5 	46.8 	7.5 	8.0 	.461 	19.9 	38.3 	.291
18 	Army 	31 	15 	16 	.484 	-5.69 	-4.19 	10 	8 	8 	7 	7 	9 	2244 	2269 		68.1 	106.5 	.354 	.308 	.553 	51.1 	51.2 	10.7 	8.5 	.519 	17.3 	31.3 	.255
19 	Auburn 	29 	14 	15 	.483 	5.76 	5.52 	6 	12 	12 	7 	2 	8 	2088 	2081 		67.8 	105.7 	.483 	.352 	.540 	50.4 	59.7 	8.5 	10.3 	.497 	16.2 	32.3 	.334
20 	Austin Peay 	30 	12 	18 	.400 	-10.62 	-5.90 	6 	10 	9 	7 	3 	11 	2287 	2368 		71.9 	108.5 	.342 	.358 	.560 	51.3 	56.7 	10.8 	8.5 	.526 	17.1 	36.9 	.252
21 	Ball State 	30 	5 	25 	.167 	-9.44 	1.38 	2 	16 	5 	9 	0 	16 	1967 	2214 		67.0 	107.9 	.442 	.285 	.548 	47.3 	53.6 	12.6 	9.2 	.507 	14.5 	28.0 	.310
22 	Baylor 	31 	21 	10 	.677 	15.44 	10.03 	9 	9 	16 	5 	5 	5 	2327 	2109 		64.5 	103.8 	.330 	.330 	.514 	44.8 	61.8 	8.1 	7.4 	.481 	13.9 	33.2 	.226
23 	Belmont 	33 	24 	9 	.727 	2.46 	-2.55 	14 	2 	15 	2 	9 	7 	2646 	2452 		69.6 	106.8 	.436 	.355 	.558 	51.6 	50.8 	10.4 	8.5 	.522 	17.8 	37.2 	.303
24 	Bethune-Cookman 	31 	7 	24 	.226 	-16.60 	-7.19 	5 	11 	5 	6 	2 	18 	1964 	2177 		63.3 	110.0 	.529 	.338 	.560 	52.7 	57.1 	9.7 	14.1 	.512 	16.9 	33.3 	.376
25 	Binghamton 	30 	7 	23 	.233 	-15.91 	-5.91 	4 	12 	3 	11 	4 	12 	1840 	2140 		65.6 	107.4 	.408 	.396 	.560 	52.5 	61.0 	11.1 	10.8 	.528 	17.3 	29.4 	.280
26 	Boise State 	31 	19 	12 	.613 	8.66 	4.59 	9 	9 	14 	5 	5 	7 	2366 	2163 		65.8 	104.3 	.393 	.342 	.552 	46.2 	46.9 	6.8 	9.5 	.518 	15.7 	23.0 	.275
27 	Boston College 	31 	8 	23 	.258 	3.36 	9.06 	4 	14 	5 	12 	3 	11 	2127 	2281 		62.7 	115.4 	.403 	.277 	.559 	52.7 	47.8 	8.8 	7.2 	.519 	12.6 	36.5 	.293
28 	Boston University 	33 	24 	9 	.727 	2.55 	-2.57 	15 	3 	13 	5 	11 	4 	2394 	2225 		66.3 	100.2 	.312 	.337 	.525 	50.5 	53.1 	7.8 	8.3 	.494 	17.6 	30.8 	.219
29 	Bowling Green State 	32 	12 	20 	.375 	-2.80 	0.46 	6 	12 	8 	9 	4 	11 	2007 	2055 		67.0 	95.1 	.374 	.328 	.502 	50.2 	56.1 	12.4 	9.1 	.469 	18.2 	31.4 	.244
30 	Bradley 	32 	12 	20 	.375 	-2.34 	0.07 	7 	11 	11 	9 	1 	11 	2036 	2113 		63.9 	103.4 	.434 	.391 	.543 	50.0 	56.7 	9.2 	10.9 	.500 	17.7 	28.9 	.309
31 	Brigham Young 	33 	23 	10 	.697 	12.85 	5.63 	13 	5 	18 	3 	5 	7 	2799 	2544 		73.7 	102.7 	.358 	.356 	.524 	46.6 	54.1 	8.1 	10.5 	.486 	15.0 	29.7 	.254
32 	Brown 	28 	15 	13 	.536 	-1.09 	-3.90 	7 	7 	8 	5 	7 	8 	2000 	1883 		69.4 	96.0 	.378 	.320 	.487 	48.2 	50.9 	9.0 	10.7 	.440 	14.8 	29.5 	.269
33 	Bryant 	32 	18 	14 	.563 	-3.92 	-4.57 	10 	6 	11 	5 	7 	9 	2351 	2304 		67.9 	105.2 	.329 	.358 	.528 	51.5 	50.7 	9.9 	11.8 	.498 	15.7 	37.5 	.224
34 	Bucknell 	30 	16 	14 	.533 	-0.82 	-2.66 	11 	7 	8 	6 	8 	8 	1977 	1922 		63.7 	100.6 	.318 	.327 	.508 	47.2 	49.1 	8.7 	12.9 	.479 	12.8 	25.5 	.210
35 	Buffalo 	28 	19 	9 	.679 	4.41 	-1.70 	13 	5 	13 	3 	6 	6 	2068 	1883 		67.9 	98.6 	.360 	.319 	.508 	48.0 	51.3 	10.1 	6.9 	.473 	17.1 	32.7 	.245
36 	Butler 	30 	14 	16 	.467 	8.04 	7.94 	4 	14 	10 	9 	4 	7 	2075 	2013 		64.1 	101.7 	.315 	.306 	.527 	49.6 	49.5 	8.3 	9.6 	.497 	15.7 	26.0 	.219
37 	Cal Poly 	29 	10 	19 	.345 	-2.13 	2.24 	6 	10 	7 	7 	3 	12 	1832 	1875 		61.3 	105.5 	.426 	.325 	.540 	50.9 	56.7 	7.8 	10.8 	.494 	15.9 	27.5 	.310
38 	Cal State Bakersfield 	30 	12 	18 	.400 	-4.59 	-3.97 	5 	11 	7 	8 	5 	10 	2084 	2059 		66.2 	102.7 	.527 	.351 	.536 	48.6 	54.5 	10.0 	10.7 	.487 	17.1 	30.0 	.367
39 	Cal State Fullerton 	30 	11 	19 	.367 	-4.40 	-0.63 	6 	10 	8 	7 	3 	12 	2036 	2149 		66.9 	106.7 	.454 	.289 	.548 	50.9 	52.6 	7.4 	9.7 	.506 	15.0 	27.0 	.321
40 	Cal State Northridge 	32 	15 	17 	.469 	-5.10 	-3.13 	7 	9 	12 	3 	3 	14 	2461 	2490 		69.0 	109.6 	.416 	.377 	.558 	48.5 	55.7 	8.7 	9.1 	.521 	15.5 	33.8 	.295
41 	California-Davis 	31 	9 	22 	.290 	-10.90 	-1.11 	4 	12 	8 	9 	1 	13 	2174 	2408 		66.6 	113.8 	.376 	.318 	.582 	56.1 	57.6 	8.6 	8.9 	.546 	15.9 	32.5 	.281
42 	California-Irvine 	32 	22 	10 	.688 	5.14 	-0.26 	13 	3 	12 	4 	10 	6 	2293 	2059 		66.2 	96.1 	.381 	.304 	.475 	47.3 	51.9 	8.4 	6.3 	.425 	13.4 	33.9 	.272
43 	California-Riverside 	30 	10 	20 	.333 	-6.76 	-1.98 	5 	11 	8 	7 	2 	13 	2074 	2151 		67.8 	104.0 	.420 	.306 	.539 	50.7 	53.5 	9.7 	9.2 	.489 	15.9 	29.8 	.314
44 	California-Santa Barbara 	29 	21 	8 	.724 	6.18 	0.52 	12 	4 	12 	3 	9 	5 	2099 	1891 		63.4 	101.4 	.391 	.373 	.500 	48.1 	60.5 	7.6 	6.4 	.464 	14.3 	36.8 	.258
45 	California 	31 	19 	12 	.613 	11.08 	8.02 	10 	8 	13 	6 	6 	6 	2260 	2165 		66.8 	103.2 	.350 	.296 	.515 	49.0 	50.9 	6.7 	8.3 	.473 	13.4 	30.6 	.257
46 	Campbell 	32 	12 	20 	.375 	-14.15 	-7.44 	6 	10 	9 	8 	3 	12 	2164 	2291 		64.0 	110.5 	.365 	.297 	.540 	51.7 	48.3 	11.1 	6.5 	.509 	14.1 	35.9 	.250
47 	Canisius 	33 	21 	12 	.636 	1.83 	-1.80 	14 	6 	12 	5 	9 	7 	2561 	2459 		67.6 	107.8 	.347 	.351 	.545 	52.0 	57.5 	8.8 	6.8 	.510 	16.9 	37.5 	.249
48 	Central Arkansas 	29 	8 	21 	.276 	-15.78 	-5.08 	5 	13 	7 	8 	1 	13 	2165 	2360 		74.3 	108.8 	.484 	.274 	.558 	54.6 	56.6 	9.7 	6.8 	.514 	17.3 	34.4 	.345
49 	Central Connecticut State 	30 	11 	19 	.367 	-12.85 	-5.82 	7 	9 	5 	9 	6 	10 	2117 	2318 		70.8 	108.3 	.338 	.337 	.540 	53.4 	45.5 	9.4 	11.5 	.511 	15.6 	37.6 	.232
50 	Central Florida 	29 	12 	17 	.414 	2.09 	5.12 	4 	14 	10 	7 	2 	10 	2101 	2130 		68.1 	106.9 	.353 	.306 	.539 	47.9 	53.9 	11.1 	11.5 	.513 	15.0 	30.8 	.233
51 	Central Michigan 	31 	10 	21 	.323 	-8.23 	-2.13 	3 	15 	8 	8 	2 	13 	2246 	2288 		65.8 	110.3 	.381 	.368 	.590 	52.1 	53.1 	8.5 	10.6 	.556 	18.0 	26.6 	.281
52 	Charleston Southern 	31 	13 	18 	.419 	-5.30 	-5.78 	6 	10 	8 	6 	5 	12 	2523 	2242 		68.6 	103.3 	.378 	.354 	.536 	48.1 	50.1 	7.4 	10.7 	.501 	16.0 	28.2 	.263
53 	Charlotte 	29 	16 	13 	.552 	-0.49 	-0.66 	7 	9 	13 	5 	3 	8 	2070 	2065 		69.4 	101.7 	.355 	.342 	.518 	47.5 	47.0 	10.0 	8.3 	.489 	15.3 	30.6 	.233
54 	Chattanooga 	32 	18 	14 	.563 	-10.40 	-7.81 	12 	4 	13 	4 	5 	10 	2423 	2360 		70.5 	103.9 	.369 	.264 	.537 	48.7 	47.5 	8.6 	8.9 	.507 	17.1 	30.6 	.248
55 	Chicago State 	31 	13 	18 	.419 	-10.02 	-1.91 	8 	8 	9 	5 	4 	13 	2170 	2371 		69.7 	107.6 	.521 	.368 	.564 	56.1 	55.3 	7.6 	11.9 	.522 	19.2 	32.3 	.362
56 	Cincinnati 	31 	26 	5 	.839 	15.95 	4.91 	15 	3 	19 	2 	7 	3 	2151 	1809 		63.9 	91.3 	.348 	.324 	.483 	46.6 	55.0 	8.2 	9.6 	.445 	19.4 	31.7 	.235
57 	Citadel 	33 	7 	26 	.212 	-17.47 	-6.61 	2 	14 	7 	10 	0 	16 	2211 	2453 		66.5 	110.9 	.372 	.342 	.541 	52.5 	48.5 	9.0 	9.5 	.511 	13.3 	35.9 	.251
58 	Clemson 	30 	19 	11 	.633 	11.07 	5.44 	10 	8 	15 	4 	4 	7 	1896 	1727 		59.8 	94.2 	.298 	.303 	.469 	48.0 	47.7 	8.5 	7.7 	.439 	15.3 	33.5 	.192
59 	Cleveland State 	32 	21 	11 	.656 	4.92 	-0.21 	12 	4 	12 	4 	9 	7 	2348 	2122 		64.6 	101.1 	.423 	.349 	.521 	48.5 	59.2 	8.3 	11.1 	.476 	16.9 	35.2 	.299
60 	Coastal Carolina 	33 	21 	12 	.636 	-5.64 	-7.14 	11 	5 	15 	5 	6 	7 	2399 	2256 		68.9 	98.1 	.372 	.425 	.506 	46.7 	50.3 	10.3 	12.0 	.467 	16.4 	30.9 	.257
61 	Colgate 	31 	13 	18 	.419 	-2.11 	-3.68 	6 	12 	7 	8 	6 	10 	2158 	2083 		62.8 	105.3 	.347 	.339 	.535 	50.9 	47.9 	8.9 	6.1 	.503 	14.3 	31.3 	.238
62 	College of Charleston 	32 	14 	18 	.438 	-1.70 	-1.57 	6 	10 	9 	9 	5 	9 	2016 	2006 		62.2 	99.3 	.428 	.274 	.495 	46.1 	39.5 	9.1 	9.8 	.456 	13.3 	28.0 	.279
63 	Colorado State 	31 	16 	15 	.516 	3.92 	2.61 	7 	11 	14 	6 	2 	9 	2278 	2157 		65.8 	105.8 	.374 	.354 	.545 	46.5 	51.4 	7.5 	10.1 	.508 	14.9 	25.0 	.267
64 	Colorado 	31 	21 	10 	.677 	12.58 	8.93 	10 	8 	16 	3 	5 	7 	2248 	2135 		67.9 	100.2 	.313 	.357 	.526 	45.2 	54.1 	9.2 	8.5 	.494 	16.2 	27.0 	.219
65 	Columbia 	31 	19 	12 	.613 	2.44 	-1.69 	8 	6 	15 	4 	4 	8 	2117 	1967 		62.2 	100.0 	.413 	.268 	.514 	47.6 	44.4 	8.3 	9.1 	.473 	14.9 	29.0 	.284
66 	Connecticut 	31 	24 	7 	.774 	15.62 	6.40 	12 	6 	17 	3 	7 	4 	2252 	1966 		66.3 	95.3 	.348 	.318 	.481 	49.7 	53.1 	8.5 	8.6 	.443 	16.9 	38.0 	.235
67 	Coppin State 	29 	10 	19 	.345 	-10.84 	-4.16 	7 	9 	5 	9 	5 	10 	2009 	2179 		68.1 	109.8 	.370 	.377 	.561 	53.8 	61.4 	8.2 	12.5 	.538 	16.9 	32.3 	.243
68 	Cornell 	28 	2 	26 	.071 	-15.36 	0.27 	1 	13 	2 	11 	0 	15 	1795 	2195 		65.2 	119.2 	.470 	.340 	.601 	53.5 	55.7 	9.0 	10.1 	.565 	13.9 	27.2 	.340
69 	Creighton 	30 	24 	6 	.800 	20.31 	7.75 	14 	4 	16 	2 	8 	4 	2397 	2020 		66.1 	101.8 	.329 	.352 	.513 	47.8 	52.1 	7.7 	8.1 	.481 	13.7 	32.1 	.225
70 	Dartmouth 	28 	12 	16 	.429 	-4.49 	-2.88 	5 	9 	8 	7 	4 	9 	1905 	1864 		64.4 	102.9 	.486 	.340 	.559 	48.4 	48.5 	8.6 	12.0 	.506 	18.2 	24.4 	.363
71 	Davidson 	32 	20 	12 	.625 	0.98 	-3.95 	15 	1 	10 	8 	10 	4 	2514 	2319 		67.9 	105.1 	.444 	.268 	.552 	49.9 	43.2 	8.3 	8.5 	.513 	16.2 	27.6 	.313
72 	Dayton 	31 	22 	9 	.710 	9.99 	4.19 	10 	6 	14 	4 	8 	5 	2268 	2088 		65.6 	101.9 	.437 	.311 	.539 	46.7 	51.5 	7.2 	12.5 	.496 	17.3 	28.0 	.309
73 	Delaware State 	29 	9 	20 	.310 	-12.26 	-5.63 	5 	11 	7 	8 	2 	12 	1786 	1881 		60.9 	105.1 	.411 	.359 	.527 	52.1 	58.7 	9.2 	11.5 	.483 	15.7 	34.9 	.294
74 	Delaware 	34 	25 	9 	.735 	3.05 	-1.33 	14 	2 	13 	2 	12 	7 	2704 	2555 		70.8 	105.7 	.378 	.316 	.526 	51.6 	43.9 	6.9 	9.2 	.491 	14.4 	32.7 	.259
75 	Denver 	31 	16 	15 	.516 	1.43 	0.16 	8 	6 	10 	7 	6 	8 	2044 	1999 		59.2 	107.2 	.484 	.289 	.566 	54.6 	50.4 	8.5 	8.6 	.529 	18.2 	31.6 	.333
76 	DePaul 	31 	11 	20 	.355 	2.12 	7.90 	3 	15 	8 	11 	3 	9 	2168 	2347 		67.9 	109.7 	.480 	.314 	.575 	50.0 	52.1 	9.8 	13.4 	.536 	16.9 	27.6 	.339
