+----------------------------+------------+---------+------------+----------+
| team_name                  | ts         | ts_rank | pra        | pra_rank |
+----------------------------+------------+---------+------------+----------+
| Louisville                 |    1.15838 |      20 |    21.8296 |        1 |
| Arizona                    |     1.5928 |       3 |    20.7236 |        2 |
| Florida                    |    1.69955 |       1 |    18.9707 |        3 |
| Kansas                     |    1.42844 |       5 |    18.0632 |        4 |
| Villanova                  |    1.52653 |       4 |    17.6963 |        5 |
| Virginia                   |    1.29407 |       8 |    16.9757 |        6 |
| Creighton                  |    1.28991 |       9 |    16.7755 |        7 |
| Duke                       |    1.18831 |      14 |    16.5151 |        8 |
| Wichita State              |    1.60166 |       2 |    16.2134 |        9 |
| UCLA                       |    1.16121 |      19 |    16.1402 |       10 |
| Michigan State             |    1.23377 |      13 |     15.839 |       11 |
| Wisconsin                  |    1.37217 |       6 |    15.5207 |       12 |
| Oklahoma State             |   0.857507 |      45 |    15.0113 |       13 |
| Michigan                   |    1.26272 |      12 |    14.8367 |       14 |
| Virginia Commonwealth      |    1.17037 |      18 |    14.7388 |       15 |
| Iowa State                 |    1.36844 |       7 |    14.6598 |       16 |
| Tennessee                  |   0.743163 |      53 |    14.5827 |       17 |
| Gonzaga                    |    1.15733 |      21 |    14.0833 |       18 |
| Kentucky                   |    1.04438 |      25 |    14.0421 |       19 |
| Ohio State                 |     1.0557 |      24 |    13.8595 |       20 |
| Pittsburgh                 |   0.953245 |      37 |    13.7074 |       21 |
| Iowa                       |    0.70558 |      57 |    13.4932 |       22 |
| Oklahoma                   |    1.09633 |      22 |    13.2017 |       23 |
| San Diego State            |    1.28165 |      10 |    13.1343 |       24 |
| Connecticut                |    1.03348 |      28 |    13.0974 |       25 |
| Syracuse                   |      1.279 |      11 |    13.0366 |       26 |
| North Carolina             |   0.993055 |      33 |    12.9114 |       27 |
| Baylor                     |    1.03408 |      27 |    12.7838 |       28 |
| Oregon                     |     1.0243 |      30 |    12.5842 |       29 |
| Cincinnati                 |     1.0561 |      23 |    12.5482 |       30 |
| New Mexico                 |    1.18214 |      17 |     12.181 |       31 |
| Harvard                    |   0.981982 |      36 |    12.0776 |       32 |
| Stanford                   |   0.842827 |      47 |    11.4426 |       33 |
| Louisiana Tech             |   0.780777 |      51 |    11.3887 |       34 |
| Southern Methodist         |   0.741907 |      54 |    11.2581 |       35 |
| St. John's (NY)            |     0.6756 |      61 |    10.8263 |       36 |
| Saint Louis                |    1.18513 |      15 |    10.4881 |       37 |
| Utah                       |   0.614942 |      72 |    10.4718 |       38 |
| Arizona State              |   0.806297 |      48 |    10.4532 |       39 |
| Texas                      |   0.988213 |      34 |    10.4516 |       40 |
| Providence                 |   0.894878 |      40 |    10.3799 |       41 |
| Kansas State               |   0.785682 |      49 |    10.3451 |       42 |
| Memphis                    |   0.868993 |      44 |    10.2185 |       43 |
| Brigham Young              |   0.883734 |      42 |    10.1938 |       44 |
| Xavier                     |   0.781552 |      50 |    9.98346 |       45 |
| Saint Joseph's             |    1.02777 |      29 |    9.96062 |       46 |
| Arkansas                   |   0.623688 |      70 |    9.80885 |       47 |
| George Washington          |    1.03778 |      26 |    9.57957 |       48 |
| Massachusetts              |     1.1851 |      16 |    9.47772 |       49 |
| North Dakota State         |    1.00513 |      31 |    9.35123 |       50 |
| Florida State              |   0.691566 |      58 |    9.28564 |       51 |
| Maryland                   |   0.466026 |      92 |    9.25799 |       52 |
| Nebraska                   |   0.726367 |      55 |    9.17331 |       53 |
| Georgia State              |   0.671111 |      62 |    9.08773 |       54 |
| West Virginia              |   0.513556 |      85 |    8.97283 |       55 |
| Dayton                     |   0.884601 |      41 |    8.95848 |       56 |
