Team	Opponent	Game Site	Game Result	Team Score	Opponent Score	
Abilene Christian	University of the Southwest	H	W	94	63	31
Abilene Christian	Howard Payne	H	W	70	56	14
Abilene Christian	Portland	@	L	57	87	-30
Abilene Christian	Colorado State	@	L	100	108	-8
Abilene Christian	Florida A&M	N	W	72	62	10
Abilene Christian	Oakland	N	L	57	85	-28
Abilene Christian	New Hampshire	H	L	75	86	-11
Abilene Christian	Nebraska	@	L	63	73	-10
Abilene Christian	Schreiner	H	W	69	46	23
Abilene Christian	UC-Riverside	H	L	56	60	-4
Abilene Christian	Texas Christian	@	L	69	80	-11
Abilene Christian	Drake	@	L	70	87	-17
Abilene Christian	Hillsdale	H	W	90	48	42
Abilene Christian	Central Arkansas	@	W	62	61	1
Abilene Christian	Nicholls State	@	L	62	63	-1
Abilene Christian	Northwestern State	H	W	87	72	15
Abilene Christian	Stephen F. Austin	@	L	62	97	-35
Abilene Christian	McNeese State	H	W	75	67	8
Abilene Christian	Incarnate Word	@	L	60	74	-14
Abilene Christian	Sam Houston State	@	L	51	72	-21
Abilene Christian	Lamar	H	W	80	71	9
Abilene Christian	Houston Baptist	H	W	79	72	7
Abilene Christian	Southeastern Louisiana	@	L	60	81	-21
Abilene Christian	Lamar	@	W	71	67	4
Abilene Christian	Sam Houston State	H	L	71	84	-13
Abilene Christian	Houston Baptist	@	L	71	73	-2
Abilene Christian	Southeastern Louisiana	H	W	91	80	11
Abilene Christian	Texas A&M-Corpus Christi	@	L	59	65	-6
Abilene Christian	New Orleans	H	W	87	84	3
Abilene Christian	Incarnate Word	H	L	70	74	-4
Abilene Christian	Texas A&M-Corpus Christi	H	L	69	74	-5
Air Force	Southern Illinois	@	L	75	77	-2
Air Force	Tennessee Tech	H	W	80	70	10
Air Force	Mississippi Valley State	H	W	65	64	1
Air Force	Robert Morris	H	W	64	52	12
Air Force	Colorado	@	L	70	81	-11
Air Force	New Mexico State	H	W	66	64	2
Air Force	Citadel	H	W	97	93	4
Air Force	Denver	@	W	61	59	2
Air Force	Ohio State	@	L	50	74	-24
Air Force	Army	H	L	80	90	-10
Air Force	UC-Davis	@	W	67	60	7
Air Force	Johnson & Wales	H	W	80	56	24
Air Force	Western State	H	W	86	66	20
Air Force	San Jose State	H	W	64	57	7
Air Force	Wyoming	@	L	52	64	-12
Air Force	Nevada	H	L	63	86	-23
Air Force	Utah State	@	L	60	79	-19
Air Force	Nevada-Las Vegas	@	L	64	100	-36
Air Force	Colorado State	H	L	79	83	-4
